Code,Residential,Description,Comment on Change/s
116,Cabin/Accommodation (rental/leased individual residential site),"A dwelling subject to a site agreement within a larger complex, e.g. caravan park or lifestyle village. The basis of valuation may vary according to legislation. ",
117,Residential Rural/Rural Lifestyle,"A single residential dwelling on land in a rural, semi-rural or bushland setting.  Primary production uses and associated improvements are secondary to the residential use. ",
118,Residential Land (with buildings that add no value),Residential land on which the benefit of works (structures erected) upon the land is exhausted. ,
12,Multiple Occupation (within residential development),,
120,Single Strata Unit/Villa Unit/Townhouse,Freestanding and unattached unit with ground level footprint.  ,
120.1,Unspecified,,
120.2,Single Strata Unit,,
120.3,Villa Unit,,
120.4,Townhouse,,
120.5,OYO Subdivided Dwelling,,
120.6,OYO Subdivided Unit,,
120.7,OYO Unit,,
121,Conjoined Strata Unit/Townhouse,Unit/Townhouse with common walls/party walls with ground level footprint. ,
121.1,Unspecified,,
121.2,Half Pair or Duplex,,
121.3,Conjoined Strata Unit,,
121.4,Townhouse,,
123,Residential Company Share Unit (ground level),"Unit with a ground level footprint where the land is defined by shares in a complex, which gives right to occupy a particular unit. Fully serviced and equipped for long term residential occupation. ",
123.1,Unspecified,,
123.2,OYO Company Share Unit,,
123.3,OYO Stratum Flat,,
123.4,OYO Stratum Unit,,
123.5,OYO Company Share Flat,,
123.6,OYO Cluster Unit,,
124,Residential Company Share Unit (within multi-storey development),Unit which forms part of a multi-storey development where the land is defined by shares in a complex which gives rights to occupy a particular unit. Fully serviced and equipped for long term residential occupation. ,
125,Strata unit or flat,Unit or flat that forms part of a multi-storey development that has been subdivided.,
125.1,Unspecified,,
125.2,Strata Dwelling,,
125.3,OYO Subdivided Flat,,
125.4,OYO Strata Flat,,
126,Individual Car Park,Individual car park associated with residential use.,
127,Individual Berth,Individual berth associated with residential use.,New AVPCC
128,Individual Flat,"Single flat used for residential purposes within a larger property, e.g. caretakers flat or dwelling above a shop.",New AVPCC moved from 132
129,Common Land associated with a residential development,"Designated common space, e.g. driveway, gardens or common parking.",
13,Investment Residential,,
130,Boarding House,Land with a building that is registered to provide long term single room accommodation with shared facilities.,Changed from Boarding House/Private Hotel/Dormitory Accommodation/University Residential College to Boarding House
131,Residential Investment Flats,A flat that forms part of a complex of two or more flats on land not subdivided. ,
133,Short Term Holiday Accommodation,A residential property used exclusively for short term holiday accommodation for persons away from their normal place of residence. ,
135,Dormitory Accommodation/University Residential College,Residential accommodation for students usually with shared facilities which is controlled or operated by a registered educational provider.,New AVPCC was previously part of 130
135.1,Unspecified,,
135.2,Dormitory Accommodation,,New AVPCC
135.3,University Residential College,,New AVPCC
14,Retirement/Aged Care Accommodation/Special Accommodation,,
140,Retirement Village Unit,Individual unit with self-contained facilities that forms part of retirement village. ,
141,Retirement Village Complex,"Land on which a retirement village complex which provides accommodation with shared facilities, amenities and services is erected. ",
142,Aged Care Complex,"Land developed with a registered care facility that provides residential accommodation and care services for people, particularly the elderly who can no longer live independently. ",Changed from Aged Care Complex/Special Accommodation/Nursing Home to Aged Care Complex
142.1,Unspecified,,
142.2,Aged Care Complex,,
142.3,Nursing Home,,
143,Special Accommodation,"Land with residential accommodation provided by registered providers for people with defined medical, social or special support needs.",Changed from Aged Care Amenities Buildings to Special Accommodation
144,Disability Housing,Land on which purpose built housing accommodation for people with disabilities is erected. ,
15,Ancillary Buildings ,,
150,Miscellaneous Improvements on Residential Land,"Residential land, on which miscellaneous improvements only are erected, e.g. garages and sheds.",
150.1,Unspecified,,
150.2,Storage Area,,
150.3,Garage/Outbuilding,,
151,Miscellaneous Improvements on Residential Rural Land,"Land within a rural, semi-rural or bushland setting and capable of being developed with a single residential dwelling on which miscellaneous improvements only are erected, e.g. garages and sheds.",
151.1,Unspecified,,
151.2,Storage Area,,
151.3,Garage/Outbuilding,,
151.4,Site Improvements,,
,,,
Code,Commercial,Description,Comment
20,Commercial Use Development Land,,
200,Commercial Development Site,Vacant land with a permit approved or capable of being developed for commercial or mixed use purposes. ,
201,Vacant In globo Commercial Land,Land which is zoned for future commercial subdivision/development. ,
202,Commercial Land (with buildings that add no value),Commercial land on which the benefit of works (structures erected) upon it is exhausted. ,
209,Commercial Airspace,"Airspace capable of being developed for commercial purposes, usually above a rooftop, roadway, railway.",Changed from Commercial Development Airspace to Commercial Airspace
21,Retail,,
210,Retail Premises (single occupancy),Land with retail premises used for the sale of goods or services. ,Retail Premises (single occupancy/single title/single stratum) changed to Retail Premises (single occupancy)
210.1,Unspecified,,
210.2,Bank,,
210.3,Retail Store/Showroom,,
210.4,Shop,,
210.5,Café,,
210.6,Timber Yard/Trade Supplies,,
210.7,Display Yard,,
210.8,Convenience Store/Fast Food,,
210.9,Plant/Tree Nursery,,New AVPCC
211,Retail Premises (multiple occupancies),"Land with more than one retail premises used for the sale of goods or services, regarded as a complex and not subdivided. ","Retail Premises (multiple occupancies, usually single title, or the parent title for stratum units) changed to Retail Premises (multiple occupancies)"
211.1,Unspecified,,
211.2,Shop and Dwelling (single occupancy),,
211.3,Office and Dwelling (single occupancy),,
212,Mixed Use Occupation,"Land that includes mixed occupancies, including shops and offices regarded as a complex and not subdivided. ",
212.1,Unspecified,,
212.3,Office,,"212.2 Dwelling removed, alternative/s in residential."
212.4,Shop,,
212.5,Studio,,
212.6,Workroom,,
213,Shopping Centre,"Land developed with a significant retail complex comprising a number of unsubdivided retail premises, parking and associated infrastructure. ",
213.1,Unspecified,,
213.2,Super Regional ,,
213.3,Major Regional,,
213.4,Regional,,
213.5,Sub Regional,,
213.6,Neighbourhood,,
214,National Company Retail,"Land developed with a purpose built structure and normally occupied by a national company, e.g. supermarket, hardware and home wares. ",
214.1,Unspecified,,
214.2,Supermarket,,
214.3,Department/Discount Department Store,,
214.4,Bulky Goods,,
215,Fuel Outlet/Garage/Service Station,Land used predominantly for fuel sales (multiple pumps) may include car repair and servicing facilities. ,
216,Multi-Purpose Fuel Outlet (fuel/food/groceries),"Land used as a service centre usually including fuel sales, retail, restaurant and takeaway food facilities. ",
217,Bottle Shop/Licensed Liquor Outlet,Land developed with a purpose built structure and normally occupied by a national company licensed for the sale of packaged alcohol.,
218,Licensed Retail Premises,Retail premises licensed to sell packaged alcohol. ,
219,Market Stall,"A stall within a market used for the sale of goods and services, e.g. stall at Queen Victoria Market. ",
22,Office,,
220,Office Premises,"Land used as an office for administration, technical, professional or other like business activity.",Changed from Office Premises (single occupancy/single title/single stratum) to Office Premises
220.1,Unspecified,,
220.2,Office (Converted dwelling),,
220.3,Serviced Office,,
220.4,Strata/Subdivided Office,,
221,Low Rise Office Building,"Land developed with a 1-3 level office building and used for administration, technical, professional or other like business activity.",
222,Multi-Level Office Building,"Land developed with a 4+ level office building and used for administration, technical, professional or other like business activity.",
222.1,Unspecified,,New AVPCC - subclassification
222.2,Medium rise (4 to 50 levels),,New AVPCC - subclassification
222.3,High Rise (50+ levels),,New AVPCC - subclassification
223,Special Purpose (built-in technology),"Land developed as a purpose-built facility with a high technology component, e.g. call centre. ",
23,Short Term Business and Tourist Accommodation,,
230,Residential Hotel/Motel/Apartment Hotel Complex,Land used to provide accommodation in serviced rooms for persons away from their normal place of residence. ,
230.1,Unspecified,,
230.2,Residential Hotel,,
230.3,Motel,,
230.4,Apartment Hotel Complex,,
230.5,Tourist Resort Complex,,
230.6,Hotel,,
230.7,Private Hotel,,New AVPCC moved from residential was part of 130
231,Residential Hotel/Motel/Apartment Hotel Units,Subdivided units forming part of a single complex operated as a hotel/motel. ,
232,Serviced Apartments/Holiday Units,Unit/s within a development used to provide short term accommodation as serviced apartments. ,
232.1,Unspecified,,
232.2,Holiday Units,,
232.3,Serviced Apartments,,
233,Bed and Breakfast,"Land developed with short-term accommodation, permitted in serviced rooms for persons away from their normal place of residence.  ",
234,Tourist Park/Caravan Park/Camping Ground,"Land registered as a caravan park and developed with cabins, caravan and camping sites, administration/ablution amenities and recreational facilities. ",
235,Guest Lodge/Back Packers/Bunkhouse/Hostel,"Land providing basic, short-term residential accommodation usually with shared bathroom and self-service catering facilities. ",
235.1,Unspecified,,
235.2,Guest Lodge,,
235.3,Back Packers/ Hostel,,
235.4,Bunkhouse,,
236,Ski lodge/ Member facility,Land developed with short term accommodation for members or guests of a ski lodge/club. ,New AVPCC
237,Recreation Camp,"Land developed with accommodation used by persons or groups for holiday or recreational purposes provided by a commercial operator, e.g. student, youth or family groups. ",New AVPCC
24,Hospitality,,
240,Pub/Tavern/Hotel/Licensed Club/Restaurant/Licensed Restaurant/Nightclub,"Land licensed to sell liquor but is not permitted to provide gaming facilities. May provide meals, limited accommodation, and/or entertainment. ",
240.1,Unspecified,,
240.2,Pub,,
240.3,Tavern,,
240.4,Hotel,,
240.5,Licensed Club,,
240.6,Restaurant,,
240.7,Licensed Restaurant,,
240.8,Nightclub/Cabaret,,
240.9,Reception/Function Centre,,Changed from Reception/Function Room to Reception/Function Centre
241,Hotel–Gaming,"Land licensed to sell liquor and is permitted to provide gaming facilities. May provide meals, limited accommodation, and/or entertainment.    ",
242,Club–Gaming – stand alone,"Land permitted to provide gaming facilities associated with a special purpose organisation, e.g. ethnic club, RSL. Access is normally subject to entry conditions. ",
243,Member Club Facility,"Land upon which the use of the facilities are restricted by membership requirements. Entry is not available to non-members. May contain any combination of liquor sales, meals and limited accommodation, e.g. RACV member club, The Australian Club.",
244,Casino,Land with special operating permit for a large gaming facility. ,
245,National Company Restaurant,"Land occupied by a national company and used as a fast food outlet, e.g. KFC, McDonalds.",
246,Kiosk,"Land developed with a small retail facility commonly found in public areas, e.g. parks, transport hubs.",
247,Conference/Convention centre,Land developed with purpose built facilities used for conference or convention centre purposes. ,New AVPCC
25,"Entertainment – Cinema, Live Theatre and Amusements (non-sporting)",,
250,Live Entertainment – Major Multi-Purpose Complex,"Land developed with a large purpose-built venue used for a wide variety of live entertainment, e.g. Melbourne Arts Centre. ",
251,Cinema Complex,"Land developed as a cinema complex incorporating theatres, either stand alone or within a larger complex. ",
252,Playhouse/Traditional Theatre,"Land developed as a theatre, either stand alone or within a larger complex. ",
253,Drive-In,Land with an outdoor movie theatre with drive-in parking facilities. ,Changed from Drive-Ins to Drive-In
26,Tourism Facilities/Infrastructure,,
260,Large Theme Attraction/Park,"Land developed as a high profile theme park with attractions, e.g. Sovereign Hill, Ballarat. ",Changed from Large Theme Attractions/Parks (includes heritage villages etc.) to Large Theme Attraction/Park 
261,Amusement Park,"Land developed as purpose built amusement park with limited rides and attractions, e.g. Luna Park, Melbourne. ",Changed from Amusement Parks etc. to Amusement Park
262,Major Infrastructure Attractions (often associated with a major historic or feature natural location).,"Land associated with a major tourist attraction destination, e.g. Penguin Parade at Phillip Island, Otway Fly Treetop Walk. ",
263,Tourism Infrastructure – Local Attractions,"Land associated with a local tourist attraction, e.g. cable cars, water slides, chair lifts, tourist railways.",
27,Personal Services,,
270,Health Surgery,Land used by a health practitioner in a stand-alone practice. ,
271,Health Clinic,"Land used as consulting suites by health practitioners within an unsubdivided complex, e.g. doctor, chiropractor, dentist, radiologist. ",
271.1,Unspecified,,
271.2,Diagnostic Centre/X-Ray,,
271.3,Medical Centre/Surgery,,
271.4,Dental Clinic,,
271.5,Super Clinic,,
272,Brothel,Land permitted to be used for the business of providing prostitution services. ,
273,Crematorium/Funeral Services,Land that is purpose built for undertaking funeral services.  ,
274,Automatic Teller Machine,An ATM facility that is not within or attached to banking premises. Can be standalone or separately occupied.,
275,Veterinary Clinic,Land used by a veterinary practitioner to treat animals. It may include keeping animals on the premises for treatment or adoption.,
28,"Vehicle Car Parking, Washing and Sales",,
280,Ground Level Parking,Land used for ground level parking. ,
281,Multi-Storey Car Park,Land developed as a multi-storey car parking facility.  ,
282,Individual Car Park Site,A subdivided car park within a commercial property. Can be leased individually or as part of a single complex by a car park operator.,
282.1,Unspecified,,
282.2,Car park – Under Cover ,,
282.3,Car park – Open Air ,,
283,Car Wash,Land developed as a purpose built car wash facility. Can be stand alone or part of a larger property.,
284,Vehicle Sales Centre,Land used for the preparation and display of new or second hand vehicles for sale. ,
285,Vehicle Rental Centre,"Land used for the preparation, storage and display of vehicles available for hire. ",New AVPCC
29,Advertising or Public Information Screens,,
290,Advertising Sign,Land upon which an advertising sign is erected may be stand alone or form part of a larger property.,Changed from Static Non Electrical Advertising sign non lighting to Advertising Sign. 
290.1,Unspecified ,,New AVPCC - subclassification
290.2,Self-Standing Pole,,New AVPCC - subclassification
290.3,Bridge Fixed,,New AVPCC - subclassification
290.4,Roof Mounted ,,New AVPCC - subclassification
290.5,Wall Fixed,,New AVPCC - subclassification
293,Electronic Stadium/Street TV Relay Screen/Scoreboard,Land upon which electronic screen or scoreboard used for the display of live media and information. May be stand alone or form part of a larger property. ,
,,,
Code,Industrial,Description,Comment
30,Industrial Use Development Land,,
300,Industrial Development Site,Vacant land with a permit approved or capable of being developed for industrial use. ,
301,Vacant Industrial In globo Land,Land which is zoned for future industrial subdivision/development. ,
302,Industrial Airspace,"Airspace capable of being developed for industrial purposes, usually above a rooftop, roadway, railway.",
303,Industrial Land (with buildings which add no value),Industrial land on which the benefit of works (structures erected) upon it is exhausted. ,
31,Manufacturing,,
310,General Purpose Factory,"Land used for manufacturing, assembly or repairs.  May have specialised/purpose built structures. ",
310.1,Unspecified,,
310.2,Factory Unit,,
310.3,Factory,,
310.4,Garage/Motor Vehicle Repairs,,
310.5,Office/Factory,,
310.6,Workshop,,
311,Food Processing Factory,"Land developed with purpose built food processing facilities, e.g. cannery, milk production plant. ",
311.1,Unspecified,,
311.2,Processing Plant,,
311.3,Dairy,,
312,Major Industrial Complex – Special Purpose Improvements,"Land developed with purpose built facilities for large scale industrial use, e.g. car plant, paper mills. ",
32,Warehouse/Distribution/Storage,,
320,General Purpose Warehouse,Land used for the storage of goods. ,
320.1,Unspecified,,
320.2,Warehouse,,
320.3,Warehouse/Office,,
320.4,Warehouse/Factory,,
320.5,Warehouse/Showroom,,
320.6,Depot,,
320.7,Store,,
321,Open Area Storage,Land with extensive hardstand area used for the storage of goods and equipment.,
321.1,Unspecified,,
321.2,Hardstand/Storage Yard,,
321.3,Wrecking Yard,,
321.4,Concrete Batching Plant,,
321.5,Container storage,,New AVPCC
322,Bulk Grain Storage (structures) ,Land developed with silos used for the storage of grain.,Changed from Bulk Grain Storage (structures) to Bulk Grain Storage (structures) 
323,Bulk Grain Storage (earthen walls and flooring - pit bunker),Land developed with bunkers used for the storage of grain.,
324,Bulk Liquid Storage Fuel Depot/Tank Farm,"Land developed with tanks for the storage and distribution of bulk liquids, e.g. tank farms, fuel depot.",
325,Coolstore/Coldstore,Land with a purpose built structure used for the cold storage of perishable products. ,
326,Works Depot,"Land developed as a works depot used in conjunction with infrastructure maintenance, e.g. municipal depot.",New AVPCC
33,Noxious/Offensive/Dangerous Industry,,
330,Tannery/Skins Depot and Drying,Land developed for the tanning of skins and hides. ,
331,Abattoirs,Land developed with purpose built structures used for the holding and slaughter of stock and the preparation of meat for the wholesale market.  ,
332,Stock sales yards,Land developed with purpose built structures used for the yarding and selling of stock. ,
333,Rendering Plant,"Land developed with purpose built structures used for the extraction of lard, tallow, and oil from animal parts. ",
334,Oil Refinery,Land developed with purpose built structures used in the refinement and storage of petroleum products. ,
335,Petro-chemical Manufacturing,Land developed with purpose built structures used in the production of chemical based products from petroleum. ,
336,Sawmill,Land developed with purpose built structures used for the milling and curing of timber.,
,,,
,,,
Code,Extractive industries,Description,Comment
40,Extractive industry site with permit or reserve not in use,,
400,Sand,"Land permitted to be used, for the extraction of building/manufacture materials (silica). ",
401,Gravel/Stone,"Land permitted to be used, for the extraction of materials used for road works/ construction. ",
402,Manufacturing Materials,"Land permitted to be used, for the extraction of materials used for manufacturing, such as clay (paper and pottery), Limestone, Dolomite (fertiliser) and Cement/Gypsum (cement). ",
403,Soil,"Land permitted to be used, for the extraction of soil. ",
404,Coal,"Land permitted to be used, for the extraction of coal. ",
405,Minerals/Ores,"Land permitted to be used, for the extraction of various types of minerals and ore. ",
406,Precious Metals,"Land permitted to be used, for the extraction of precious metals, e.g. gold, silver. ",
407,Uranium,"Land permitted to be used, for the extraction/storage of uranium. ",
408,Quarry/Mine (open cut) – Exhausted (dry),Land formerly used for extractive industries whose materials have been exhausted. ,
409,Quarry/Mine (open cut) – Exhausted (wet),Land formerly used for extractive industries whose materials have been exhausted and is now inundated with water. ,
41,Quarry (in use),,
410,Sand,Land from which sand is being extracted by a licensed operator.,
411,Gravel/Stone,Land from which stone and gravel are being extracted by a licensed operator.,
412,Manufacturing Materials,"Land from which manufacturing materials, such as clay (paper and pottery), limestone, dolomite (fertiliser) and cement/gypsum (cement), are being extracted by a licensed operator.",
413,Soil,Land from which soil is being extracted for by a licensed operator.,
42,Mine (open cut),,
420,Black or Brown Coal,Land from which black or brown coal are being extracted by a licensed operator.,
421,Iron Ore,Land from which iron ore is being extracted by a licensed operator.,
422,Bauxite,Land from which bauxite is being extracted by a licensed operator.,
423,Gold,Land from which gold is being extracted by a licensed operator.,
424,Metals (other than gold),Land from which metals (other than gold) are being extracted by a licensed operator.,
425,Precious Stones,Land from which precious stones are being extracted for by a licensed operator.,
426,Uranium,Land from which uranium is being extracted for by a licensed operator.,
427,Non Metals (other than Uranium),Land from which non-metals (other than uranium) being extracted by a licensed operator. ,
43,Mine (deep shaft),,
430,Non-metals,"Land from which non-metals are being extracted by a licensed operator, from deep underground, by way of an inclined or vertical passageway or shaft equipped with lifting machinery. ",
431,Black Coal,"Land from which black coal is being extracted by a licensed operator from deep underground, by way of an inclined or vertical passageway or shaft equipped with lifting machinery. ",
432,Precious Stones,"Land from which precious stones are being extracted by a licensed operator from deep underground, by way of an inclined or vertical passageway or shaft equipped with lifting machinery. ",
433,Gold,"Land from which gold is being extracted by a licensed operator from deep underground, by way of an inclined or vertical passageway or shaft equipped with lifting machinery. ",
434,Metals (other than gold),"Land from which metals (other than gold) are being extracted by a licensed operator from deep underground, by way of an inclined or vertical passageway or shaft equipped with lifting machinery. Gold may be extracted from ore but it is not the principle mining activity.",
439,Closed Mine Shaft,"Land containing a decommissioned mine shaft, where above ground structures may remain. ",
44,Tailings Dumps,,
440,Tailings Dump (minerals),Land permitted to be used for the storage/treatment of minerals in tailing dumps and dams.,
441,Tailings Dump (non-minerals),Land permitted to be used for the storage/treatment of non-minerals in tailing dumps and dams.,
45,Well/Bore,,
450,Oil,Land containing a narrow hole drilled or dug into the earth for the production oil. ,
451,Gas,Land containing a narrow hole drilled or dug into the earth for the production of natural gas. ,
452,Water (mineral),Land containing a narrow hole drilled or dug into the earth for the production of water (mineral). ,
453,Water (stock and domestic),"Land containing a narrow hole drilled or dug into the earth for the production of water, for use for stock and domestic purposes. ",
454,Water (irrigation),"Land containing a narrow hole drilled or dug into the earth for the production of water, for use in irrigation. ",
459,Disused Bore/Well,Land containing a narrow hole drilled into the earth that is decommissioned. Above ground structures may remain. ,
46,Salt Pan (evaporative),,
460,Lake – Salt Extraction,Land containing a lake from which salt is extracted. ,
461,Man-made Evaporative Basin,Land containing a man-made evaporative basin from which salt is extracted. ,
47,Dredging Operations,,
470,Dredging (minerals),"Land on which dredging for the extraction, treatment and restoration of submerged minerals occurs. Usually licensed operations on Crown/State land subject to inundation. ",
471,Dredging (non-minerals),"Land on which dredging for the extraction, treatment and restoration of submerged materials that are not minerals occurs. Usually licensed operations on Crown/State land subject to inundation. ",
48,Other Unspecified,,
480,Extractive less than 2 Metres,"Land from which material is extracted, that do not exceed 2 metres in depth. ",
481,Operating mine unspecified,"Land from which material is extracted, but is not otherwise specified. ",
482,Vacant Land mining unspecified,"Land from which material has been extracted in the past, that is decommissioned, is vacant land and not otherwise specified. ",
,,,
Code,Primary production,Description,Comment
50,Native Vegetation,,
500,Vacant Land - Native Vegetation/Bushland,Vacant land that is not cleared with native vegetation coverage typical of the district that is not covered by a covenant or other formal agreement to preserve the vegetation. ,Changed to Vacant Land - Native Vegetation/Bushland
501,Vacant Land - Native Vegetation/Bushland with Covenant/Agreement,"Vacant land that is not cleared with native vegetation coverage typical of the district, covered by a covenant or other formal agreement to preserve the vegetation.",Changed to Vacant Land - Native Vegetation/Bushland with Covenant/Agreement
51,Agriculture Cropping,,
510,General Cropping,"Land used for the production of broad-acre crops, e.g. grains, oilseeds and cotton. ",Changed from General Cropping (generally more than 20ha plantings) to General Cropping
510.1,Unspecified,,
510.2,Crop Production – Mixed/Other,,
510.3,Crop Production – Other Grains/Oil Seeds,,
510.4,Crop Production – Wheat,,
510.5,Crop Production – Fodder Crops,,
511,Specialised Cropping,"Land used in the production of broad-acre crops that require a permit, license or specialist infrastructure, e.g. pyrethrum, poppies. ",
52,Livestock Grazing,,
520,Domestic Livestock Grazing,Land used for the grazing of domestic livestock. ,
521,Non-Native Animals,Land used for the grazing of specialist/exotic animals. ,
522,Native Animals,Land used for the grazing of native animals. ,
523,Livestock Production – Sheep,Land developed with specialist infrastructure and used for the farming of sheep. ,
524,Livestock Production – Beef Cattle,Land developed with specialist infrastructure and used for the farming of beef cattle. ,
525,Livestock Production – Dairy Cattle,Land developed with specialist infrastructure and used for the farming of dairy cattle. ,
53,Mixed Farming and Grazing,,
530,Mixed farming and grazing,"Land used for mixed use farming purpose, e.g. cropping and grazing/livestock production. ",
530.1,Unspecified,,
530.2,Mixed farming and grazing with infrastructure,,Changed from Mixed farming and grazing with structural improvements to farming and grazing with infrastructure
530.3,Mixed farming and grazing without infrastructure,,Changed from Mixed farming and grazing without structural improvements to farming and grazing without infrastructure
54,"Livestock – special purpose fencing, pens, cages, yards or shedding, stables",,
540,Cattle Feed Lot,Land developed with specialist infrastructure used for intensive feeding of cattle. ,
541,Poultry – Open Range,Land used for poultry run as free range. ,
542,Poultry (egg production),Land developed with specialist infrastructure used for egg production. ,
543,Poultry (broiler production),Land developed with specialist infrastructure used for broiler production. ,
544,Horse Stud/Training Facilities/Stables ,Land developed with specialist infrastructure used as a horse stud farm or horse training facility.,
544.1,Unspecified,,
544.2,Horse Stud,,
544.3,Training Facilities,,
544.4,Stables,,
545,Piggery,Land developed with specialist infrastructure for use as a piggery. ,
546,Kennel/Cattery,Land developed with specialist infrastructure for use as a kennel and/or cattery. ,
55,Horticulture Fruit and Vegetable Crops ,,
550,Market Garden – Vegetables,Land used for the planting of vegetable crops.,Changed from Market Garden – Vegetables (generally less than 20ha plantings) to Market Garden – Vegetable
551,"Orchards, Groves and Plantations","Land used for the planting of trees for the production of fruit and nuts, e.g. olives, stone fruits, tropical fruits, citrus. ",
56,Horticulture – Special Purpose Structural Improvements ,,
561,Vineyard ,Land developed with specialist infrastructure to facilitate the growing of grapes. ,
562,Plant/Tree Nursery,"Land used for the propagation, growing and storage of plants.",
563,Commercial Flower and Plant Growing – (outdoor),"Land used for the propagation, growing and storage of flowers and plants. ",
564,Glasshouse Plant/Vegetable Production,Land developed with specialist infrastructure for the indoor propagation and growing of plants and plant crops. ,
57,Forestry – Commercial Timber Production,,
570,Softwood Plantation,"Land used for the growing and harvesting of softwood trees, e.g. Radiata Pine.",
571,Hardwood Plantation,"Land used for the growing and harvesting of hardwood trees, e.g. Blue Gum.",
572,Native Hardwood (standing timber),Land used for the growing and harvesting of native trees within a revegetated area.,
58,Aquaculture,,
580,Oyster Beds,Land developed with specialist infrastructure used for the cultivation of oysters. ,
581,Fish Farming – Sea Water Based,Land developed with specialist infrastructure used for sea-water based fish farming. ,
582,Yabby Farming,Land developed with specialist infrastructure used for yabby farming. ,
583,Aquaculture Breeding/Research Facilities/ Fish Hatchery,Land upon which special purpose aquaculture breeding and/or research facilities are constructed. Includes the breeding and growing of fish for commercial purposes. ,
,,,
Code,Infrastructure and utilities (industrial),Description,Comment
60,Vacant,,
600,Vacant Land,Vacant land reserved or capable of being developed for infrastructure purposes. ,
601,"Unspecified – Transport, Storage, Utilities and Communication","Vacant land reserved or capable of being developed for transportation, storage, utilities and communication uses.",
61,Gas or Fuel,,Changed from Gas to Gas or Fuels
610, Wells,Land developed with specialist infrastructure used as a gas or fuel well. ,Changed from Gas Wells to  Wells
611,Production/Refinery,Land developed with specialist infrastructure used for the production/refinery of gas or fuel. ,Changed from Gas Production/Refinery to Production/Refinery
612,Storage ,Land developed with specialist infrastructure used for the storage of gas or fuel.,Changed from Gas Storage to Storage 
613,"Transmission Pipeline (through easements, freehold and public land) ",Land developed with specialist infrastructure used for the transmission of gas or fuel including pipelines and pressure control facilities. ,"Changed from Gas Transmission Pipeline (through easements, freehold and public land) to Transmission Pipeline (through easements, freehold and public land) "
614,"Distribution/Reticulation Pipelines (through easements, freehold and public land)",Land developed with specialist infrastructure used for the reticulation of gas or fuel for domestic/commercial purposes. ,"Changed from Gas Distribution/Reticulation Pipelines (through easements, freehold and public land) to Distribution/Reticulation Pipelines (through easements, freehold and public land)"
62,Electricity,,
620,"Electricity Power Generators – Fuel Powered (includes brown coal, black coal, natural steam, gas, oil and nuclear)",Land developed with specialist infrastructure used in the generation of fossil fuelled electricity. ,
621,Hydroelectricity Generation,Land developed with specialist infrastructure used in the generation of hydroelectricity.,
622,Wind Farm Electricity Generation,Land developed with specialist infrastructure used in the generation of wind powered electricity.,
623,Electricity Substation/Terminal,Land developed with specialist infrastructure associated with the reticulation of electricity.,
624,"Electricity Transmission Lines (through easements, freehold and public land)",Land developed with transmission lines used for electricity transmission.,
625,"Electricity Distribution/Reticulation Lines (through easements, freehold and public land)",Land developed with specialist infrastructure with a transmission line used for domestic/commercial reticulation.,
626,Solar Electricity Generation,Land developed with specialist infrastructure used in the generation of solar electricity.,New AVPCC
63,"Waste Disposal, Treatment and Recycling",,
630,Refuse Incinerator,Land developed with specialist infrastructure used for the incineration of refuse. ,
631,Refuse Transfer Station,Land developed with specialist infrastructure used in the storage and transfer of refuse.,
